Order,Dex #,Pokémon,Region
208,125,Electabuzz,Kanto
209,466,Electivire,Sinnoh
210,240,Magby,Johto
211,126,Magmar,Kanto
212,467,Magmortar,Sinnoh
213,127,Pinsir,Kanto
214,127,Mega Pinsir,Kanto
215,128,Tauros,Kanto
216,128,Paldean Tauros Aqua,Paldea
217,128,Paldean Tauros Blaze,Paldea
218,128,Paldean Tauros Combat,Paldea
219,129,Magikarp,Kanto
220,130,Gyarados,Kanto
221,130,Mega Gyarados,Kanto
222,131,Lapras,Kanto
223,131,Gigantamax Lapras,Galar
224,132,Ditto,Kanto
225,133,Eevee,Kanto
226,133,Gigantamax Eevee,Galar
227,134,Vaporeon,Kanto
228,135,Jolteon,Kanto
229,136,Flareon,Kanto
230,196,Espeon,Johto
231,197,Umbreon,Johto
232,470,Leafeon,Sinnoh
233,471,Glaceon,Sinnoh
234,700,Sylveon,Kalos
235,137,Porygon,Kanto
236,233,Porygon2,Johto
237,474,Porygon-Z,Sinnoh
238,138,Omanyte,Kanto
239,139,Omastar,Kanto
240,140,Kabuto,Kanto
241,141,Kabutops,Kanto
242,142,Aerodactyl,Kanto
243,142,Mega Aerodactyl,Kanto
244,446,Munchlax,Sinnoh
245,143,Snorlax,Kanto
246,143,Gigantamax Snorlax,Galar
247,144,Articuno,Kanto
248,144,Galarian Articuno,Galar
249,145,Zapdos,Kanto
250,145,Galarian Zapdos,Galar
251,146,Moltres,Kanto
252,146,Galarian Moltres,Galar
253,147,Dratini,Kanto
254,148,Dragonair,Kanto
255,149,Dragonite,Kanto
256,149,Mega Dragonite,Kanto
257,150,Mewtwo,Kanto
258,150,Mega Mewtwo X,Kanto
259,150,Mega Mewtwo Y,Kanto
260,151,Mew,Kanto
261,152,Chikorita,Johto
262,153,Bayleef,Johto
263,154,Meganium,Johto
264,154,Mega Meganium,Johto
265,155,Cyndaquil,Johto
266,156,Quilava,Johto
267,157,Typhlosion,Johto
268,157,Hisuian Typhlosion,Hisui
269,158,Totodile,Johto
270,159,Croconaw,Johto
271,160,Feraligatr,Johto
272,160,Mega Feraligatr,Johto
273,161,Sentret,Johto
274,162,Furret,Johto
275,163,Hoothoot,Johto
276,164,Noctowl,Johto
277,165,Ledyba,Johto
278,166,Ledian,Johto
279,167,Spinarak,Johto
280,168,Ariados,Johto
281,170,Chinchou,Johto
282,171,Lanturn,Johto
283,175,Togepi,Johto
284,176,Togetic,Johto
285,468,Togekiss,Sinnoh
286,177,Natu,Johto
287,178,Xatu,Johto
288,179,Mareep,Johto
289,180,Flaaffy,Johto
290,181,Ampharos,Johto
291,181,Mega Ampharos,Johto
292,298,Azurill,Hoenn
293,183,Marill,Johto
294,184,Azumarill,Johto
295,438,Bonsly,Sinnoh
296,185,Sudowoodo,Johto
297,187,Hoppip,Johto
298,188,Skiploom,Johto
299,189,Jumpluff,Johto
300,190,Aipom,Johto
301,424,Ambipom,Sinnoh
302,191,Sunkern,Johto
303,192,Sunflora,Johto
304,193,Yanma,Johto
305,469,Yanmega,Sinnoh
306,194,Wooper,Johto
307,194,Paldean Wooper,Paldea
308,195,Quagsire,Johto
309,980,Clodsire,Paldea
310,198,Murkrow,Johto
311,430,Honchkrow,Sinnoh
312,200,Misdreavus,Johto
313,429,Mismagius,Sinnoh
314,201,Unown,Johto
315,201,Unown A,Johto
316,201,Unown B,Johto
317,201,Unown C,Johto
318,201,Unown D,Johto
319,201,Unown E,Johto
320,201,Unown Exclamation,Johto
321,201,Unown F,Johto
322,201,Unown G,Johto
323,201,Unown H,Johto
324,201,Unown I,Johto
325,201,Unown J,Johto
326,201,Unown K,Johto
327,201,Unown L,Johto
328,201,Unown M,Johto
329,201,Unown N,Johto
330,201,Unown O,Johto
331,201,Unown P,Johto
332,201,Unown Q,Johto
333,201,Unown Question,Johto
334,201,Unown R,Johto
335,201,Unown S,Johto
336,201,Unown T,Johto
337,201,Unown U,Johto
338,201,Unown V,Johto
339,201,Unown W,Johto
340,201,Unown X,Johto
341,201,Unown Y,Johto
342,201,Unown Z,Johto
343,360,Wynaut,Hoenn
344,202,Wobbuffet,Johto
345,203,Girafarig,Johto
346,981,Farigiraf,Paldea
347,204,Pineco,Johto
348,205,Forretress,Johto
349,206,Dunsparce,Johto
350,982,Dudunsparce,Paldea
351,982,Three-Segment Dudunsparce,Paldea
352,982,Two-Segment Dudunsparce,Paldea
353,207,Gligar,Johto
354,472,Gliscor,Sinnoh
355,209,Snubbull,Johto
356,210,Granbull,Johto
357,211,Qwilfish,Johto
358,211,Hisuian Qwilfish,Hisui
359,904,Overqwil,Hisui
360,213,Shuckle,Johto
361,214,Heracross,Johto
362,214,Mega Heracross,Johto
363,215,Sneasel,Johto
364,215,Hisuian Sneasel,Hisui
365,461,Weavile,Sinnoh
366,903,Sneasler,Hisui
367,216,Teddiursa,Johto
368,217,Ursaring,Johto
369,901,Bloodmoon Ursaluna,Hisui
370,901,Ursaluna,Hisui
371,218,Slugma,Johto
372,219,Magcargo,Johto
373,220,Swinub,Johto
374,221,Piloswine,Johto
375,473,Mamoswine,Sinnoh
376,222,Corsola,Johto
377,222,Galarian Corsola,Galar
378,864,Cursola,Galar
379,223,Remoraid,Johto
380,224,Octillery,Johto
381,225,Delibird,Johto
382,458,Mantyke,Sinnoh
383,226,Mantine,Johto
384,227,Skarmory,Johto
385,227,Mega Skarmory,Johto
386,228,Houndour,Johto
387,229,Houndoom,Johto
388,229,Mega Houndoom,Johto
389,231,Phanpy,Johto
390,232,Donphan,Johto
391,234,Stantler,Johto
392,899,Wyrdeer,Hisui
393,235,Smeargle,Johto
394,241,Miltank,Johto
395,243,Raikou,Johto
396,244,Entei,Johto
397,245,Suicune,Johto
398,246,Larvitar,Johto
399,247,Pupitar,Johto
400,248,Tyranitar,Johto
401,248,Mega Tyranitar,Johto
402,249,Lugia,Johto
403,250,Ho-oh,Johto
404,251,Celebi,Johto
405,252,Treecko,Hoenn
406,253,Grovyle,Hoenn
407,254,Sceptile,Hoenn
408,254,Mega Sceptile,Hoenn
409,255,Torchic,Hoenn
410,256,Combusken,Hoenn
411,257,Blaziken,Hoenn
412,257,Mega Blaziken,Hoenn
413,258,Mudkip,Hoenn
414,259,Marshtomp,Hoenn
415,260,Swampert,Hoenn
416,260,Mega Swampert,Hoenn
417,261,Poochyena,Hoenn
418,262,Mightyena,Hoenn
419,263,Zigzagoon,Hoenn
420,263,Galarian Zigzagoon,Galar
421,264,Linoone,Hoenn
422,264,Galarian Linoone,Galar
423,862,Obstagoon,Galar
424,265,Wurmple,Hoenn
425,266,Silcoon,Hoenn
426,268,Cascoon,Hoenn
427,267,Beautifly,Hoenn
428,269,Dustox,Hoenn
429,270,Lotad,Hoenn
430,271,Lombre,Hoenn
431,272,Ludicolo,Hoenn
432,273,Seedot,Hoenn
433,274,Nuzleaf,Hoenn
434,275,Shiftry,Hoenn
435,276,Taillow,Hoenn
436,277,Swellow,Hoenn
437,278,Wingull,Hoenn
438,279,Pelipper,Hoenn
439,280,Ralts,Hoenn
440,281,Kirlia,Hoenn
441,282,Gardevoir,Hoenn
442,282,Mega Gardevoir,Hoenn
443,475,Gallade,Sinnoh
444,475,Mega Gallade,Sinnoh
445,283,Surskit,Hoenn
446,284,Masquerain,Hoenn
447,285,Shroomish,Hoenn
448,286,Breloom,Hoenn
449,287,Slakoth,Hoenn
450,288,Vigoroth,Hoenn
451,289,Slaking,Hoenn
452,290,Nincada,Hoenn
453,291,Ninjask,Hoenn
454,292,Shedinja,Hoenn
455,293,Whismur,Hoenn
456,294,Loudred,Hoenn
457,295,Exploud,Hoenn
458,296,Makuhita,Hoenn
459,297,Hariyama,Hoenn
460,299,Nosepass,Hoenn
461,476,Probopass,Sinnoh
462,300,Skitty,Hoenn
463,301,Delcatty,Hoenn
464,302,Sableye,Hoenn
465,302,Mega Sableye,Hoenn
466,303,Mawile,Hoenn
467,303,Mega Mawile,Hoenn
468,304,Aron,Hoenn
469,305,Lairon,Hoenn
470,306,Aggron,Hoenn
471,306,Mega Aggron,Hoenn
472,307,Meditite,Hoenn
473,308,Medicham,Hoenn
474,308,Mega Medicham,Hoenn
475,309,Electrike,Hoenn
476,310,Manectric,Hoenn
477,310,Mega Manectric,Hoenn
478,311,Plusle,Hoenn
479,312,Minun,Hoenn
480,313,Volbeat,Hoenn
481,314,Illumise,Hoenn
482,406,Budew,Sinnoh
483,315,Roselia,Hoenn
484,407,Roserade,Sinnoh
485,316,Gulpin,Hoenn
486,317,Swalot,Hoenn
487,318,Carvanha,Hoenn
488,319,Sharpedo,Hoenn
489,319,Mega Sharpedo,Hoenn
490,320,Wailmer,Hoenn
491,321,Wailord,Hoenn
492,322,Numel,Hoenn
493,323,Camerupt,Hoenn
494,323,Mega Camerupt,Hoenn
495,324,Torkoal,Hoenn
496,325,Spoink,Hoenn
497,326,Grumpig,Hoenn
498,327,Spinda,Hoenn
499,328,Trapinch,Hoenn
500,329,Vibrava,Hoenn
501,330,Flygon,Hoenn
502,331,Cacnea,Hoenn
503,332,Cacturne,Hoenn
504,333,Swablu,Hoenn
505,334,Altaria,Hoenn
506,334,Mega Altaria,Hoenn
507,335,Zangoose,Hoenn
508,336,Seviper,Hoenn
509,337,Lunatone,Hoenn
510,338,Solrock,Hoenn
511,339,Barboach,Hoenn
512,340,Whiscash,Hoenn
513,341,Corphish,Hoenn
514,342,Crawdaunt,Hoenn
515,343,Baltoy,Hoenn
516,344,Claydol,Hoenn
517,345,Lileep,Hoenn
518,346,Cradily,Hoenn
519,347,Anorith,Hoenn
520,348,Armaldo,Hoenn
521,349,Feebas,Hoenn
522,350,Milotic,Hoenn
523,351,Castform,Hoenn
524,351,Rainy Castform,Hoenn
525,351,Snowy Castform,Hoenn
526,351,Sunny Castform,Hoenn
527,352,Kecleon,Hoenn
528,353,Shuppet,Hoenn
529,354,Banette,Hoenn
530,354,Mega Banette,Hoenn
531,355,Duskull,Hoenn
532,356,Dusclops,Hoenn
533,477,Dusknoir,Sinnoh
534,357,Tropius,Hoenn
535,433,Chingling,Sinnoh
536,358,Chimecho,Hoenn
537,358,Mega Chimecho,Hoenn
538,359,Absol,Hoenn
539,359,Mega Absol,Hoenn
540,359,Mega Absol Z,Hoenn
541,361,Snorunt,Hoenn
542,362,Glalie,Hoenn
543,362,Mega Glalie,Hoenn
544,478,Froslass,Sinnoh
545,478,Mega Froslass,Sinnoh
546,363,Spheal,Hoenn
547,364,Sealeo,Hoenn
548,365,Walrein,Hoenn
549,366,Clamperl,Hoenn
550,367,Huntail,Hoenn
551,368,Gorebyss,Hoenn
552,369,Relicanth,Hoenn
553,370,Luvdisc,Hoenn
554,371,Bagon,Hoenn
555,372,Shelgon,Hoenn
556,373,Salamence,Hoenn
557,373,Mega Salamence,Hoenn
558,374,Beldum,Hoenn
559,375,Metang,Hoenn
560,376,Metagross,Hoenn
561,376,Mega Metagross,Hoenn
562,377,Regirock,Hoenn
563,378,Regice,Hoenn
564,379,Registeel,Hoenn
565,380,Latias,Hoenn
566,380,Mega Latias,Hoenn
567,381,Latios,Hoenn
568,381,Mega Latios,Hoenn
569,382,Kyogre,Hoenn
570,382,Primal Kyogre,Hoenn
571,383,Groudon,Hoenn
572,383,Primal Groudon,Hoenn
573,384,Rayquaza,Hoenn
574,384,Mega Rayquaza,Hoenn
575,385,Jirachi,Hoenn
576,386,Deoxys,Hoenn
577,386,Attack Deoxys,Hoenn
578,386,Defense Deoxys,Hoenn
579,386,Normal Deoxys,Hoenn
580,386,Speed Deoxys,Hoenn
581,387,Turtwig,Sinnoh
582,388,Grotle,Sinnoh
583,389,Torterra,Sinnoh
584,390,Chimchar,Sinnoh
585,391,Monferno,Sinnoh
586,392,Infernape,Sinnoh
587,393,Piplup,Sinnoh
588,394,Prinplup,Sinnoh
589,395,Empoleon,Sinnoh
590,396,Starly,Sinnoh
591,397,Staravia,Sinnoh
592,398,Staraptor,Sinnoh
593,398,Mega Staraptor,Sinnoh
594,399,Bidoof,Sinnoh
595,400,Bibarel,Sinnoh
596,401,Kricketot,Sinnoh
597,402,Kricketune,Sinnoh
598,403,Shinx,Sinnoh
599,404,Luxio,Sinnoh
600,405,Luxray,Sinnoh
601,408,Cranidos,Sinnoh
602,409,Rampardos,Sinnoh
603,410,Shieldon,Sinnoh
604,411,Bastiodon,Sinnoh
605,412,Burmy,Sinnoh
606,412,Plant Burmy,Sinnoh
607,412,Sandy Burmy,Sinnoh
608,412,Trash Burmy,Sinnoh
609,413,Plant Wormadam,Sinnoh
610,413,Sandy Wormadam,Sinnoh
611,413,Trash Wormadam,Sinnoh
612,413,Wormadam,Sinnoh
613,414,Mothim,Sinnoh
614,415,Combee,Sinnoh
615,416,Vespiquen,Sinnoh
616,417,Pachirisu,Sinnoh
617,418,Buizel,Sinnoh
618,419,Floatzel,Sinnoh
619,420,Cherubi,Sinnoh
620,421,Cherrim,Sinnoh
621,421,Overcast Cherrim,Sinnoh
622,421,Sunshine Cherrim,Sinnoh
623,422,Shellos,Sinnoh
624,422,East Sea Shellos,Sinnoh
625,422,West Sea Shellos,Sinnoh
626,423,East Sea Gastrodon,Sinnoh
627,423,Gastrodon,Sinnoh
628,423,West Sea Gastrodon,Sinnoh
629,425,Drifloon,Sinnoh
630,426,Drifblim,Sinnoh
631,427,Buneary,Sinnoh
632,428,Lopunny,Sinnoh
633,428,Mega Lopunny,Sinnoh
634,431,Glameow,Sinnoh
635,432,Purugly,Sinnoh
636,434,Stunky,Sinnoh
637,435,Skuntank,Sinnoh
638,436,Bronzor,Sinnoh
639,437,Bronzong,Sinnoh
640,441,Chatot,Sinnoh
641,442,Spiritomb,Sinnoh
642,443,Gible,Sinnoh
643,444,Gabite,Sinnoh
644,445,Garchomp,Sinnoh
645,445,Mega Garchomp,Sinnoh
646,445,Mega Garchomp Z,Sinnoh
647,447,Riolu,Sinnoh
648,448,Lucario,Sinnoh
649,448,Mega Lucario,Sinnoh
650,448,Mega Lucario Z,Sinnoh
651,449,Hippopotas,Sinnoh
652,450,Hippowdon,Sinnoh
653,451,Skorupi,Sinnoh
654,452,Drapion,Sinnoh
655,453,Croagunk,Sinnoh
656,454,Toxicroak,Sinnoh
657,455,Carnivine,Sinnoh
658,456,Finneon,Sinnoh
659,457,Lumineon,Sinnoh
660,459,Snover,Sinnoh
661,460,Abomasnow,Sinnoh
662,460,Mega Abomasnow,Sinnoh
663,479,Rotom,Sinnoh
664,479,Fan Rotom,Sinnoh
665,479,Frost Rotom,Sinnoh
666,479,Heat Rotom,Sinnoh
667,479,Mow Rotom,Sinnoh
668,479,Wash Rotom,Sinnoh
669,480,Uxie,Sinnoh
670,481,Mesprit,Sinnoh
671,482,Azelf,Sinnoh
672,483,Dialga,Sinnoh
673,483,Origin Dialga,Sinnoh
674,484,Palkia,Sinnoh
675,484,Origin Palkia,Sinnoh
676,485,Heatran,Sinnoh
677,485,Mega Heatran,Sinnoh
678,486,Regigigas,Sinnoh
679,487,Giratina,Sinnoh
680,487,Altered Giratina,Sinnoh
681,487,Origin Giratina,Sinnoh
682,488,Cresselia,Sinnoh
683,489,Phione,Sinnoh
684,490,Manaphy,Sinnoh
685,491,Darkrai,Sinnoh
686,491,Mega Darkrai,Sinnoh
687,492,Shaymin,Sinnoh
688,492,Land Shaymin,Sinnoh
689,492,Sky Shaymin,Sinnoh
690,493,Arceus,Sinnoh
691,493,Normal Arceus,Sinnoh
692,494,Victini,Unova
693,495,Snivy,Unova
694,496,Servine,Unova
695,497,Serperior,Unova
696,498,Tepig,Unova
697,499,Pignite,Unova
698,500,Emboar,Unova
699,500,Mega Emboar,Unova
700,501,Oshawott,Unova
701,502,Dewott,Unova
702,503,Samurott,Unova
703,503,Hisuian Samurott,Hisui
704,504,Patrat,Unova
705,505,Watchog,Unova
706,506,Lillipup,Unova
707,507,Herdier,Unova
708,508,Stoutland,Unova
709,509,Purrloin,Unova
710,510,Liepard,Unova
711,511,Pansage,Unova
712,512,Simisage,Unova
713,513,Pansear,Unova
714,514,Simisear,Unova
715,515,Panpour,Unova
716,516,Simipour,Unova
717,517,Munna,Unova
718,518,Musharna,Unova
719,519,Pidove,Unova
720,520,Tranquill,Unova
721,521,Unfezant,Unova
722,522,Blitzle,Unova
723,523,Zebstrika,Unova
724,524,Roggenrola,Unova
725,525,Boldore,Unova
726,526,Gigalith,Unova
727,527,Woobat,Unova
728,528,Swoobat,Unova
729,529,Drilbur,Unova
730,530,Excadrill,Unova
731,530,Mega Excadrill,Unova
732,531,Audino,Unova
733,531,Mega Audino,Unova
734,532,Timburr,Unova
735,533,Gurdurr,Unova
736,534,Conkeldurr,Unova
737,535,Tympole,Unova
738,536,Palpitoad,Unova
739,537,Seismitoad,Unova
740,538,Throh,Unova
741,539,Sawk,Unova
742,540,Sewaddle,Unova
743,541,Swadloon,Unova
744,542,Leavanny,Unova
745,543,Venipede,Unova
746,544,Whirlipede,Unova
747,545,Scolipede,Unova
748,545,Mega Scolipede,Unova
749,546,Cottonee,Unova
750,547,Whimsicott,Unova
751,548,Petilil,Unova
752,549,Lilligant,Unova
753,549,Hisuian Lilligant,Hisui
754,550,Basculin,Unova
755,550,Blue-Striped Basculin,Unova
756,550,Red-Striped Basculin,Unova
757,550,White-Striped Basculin,Unova
758,902,Basculegion,Hisui
759,902,Basculegion Female,Hisui
760,902,Basculegion Male,Hisui
761,551,Sandile,Unova
762,552,Krokorok,Unova
763,553,Krookodile,Unova
764,554,Darumaka,Unova
765,554,Galarian Darumaka,Galar
766,555,Darmanitan,Unova
767,555,Darmanitan (Zen Mode),Unova
768,555,Standard Mode Darmanitan,Unova
769,555,Galarian Darmanitan,Galar
770,555,Galarian Darmanitan (Zen Mo…,Galar
771,556,Maractus,Unova
772,557,Dwebble,Unova
773,558,Crustle,Unova
774,559,Scraggy,Unova
775,560,Scrafty,Unova
776,560,Mega Scrafty,Unova
777,561,Sigilyph,Unova
778,562,Yamask,Unova
779,562,Galarian Yamask,Galar
780,563,Cofagrigus,Unova
781,867,Runerigus,Galar
782,564,Tirtouga,Unova
783,565,Carracosta,Unova
784,566,Archen,Unova
785,567,Archeops,Unova
786,568,Trubbish,Unova
787,569,Garbodor,Unova
788,569,Gigantamax Garbodor,Galar
789,570,Zorua,Unova
790,570,Hisuian Zorua,Hisui
791,571,Zoroark,Unova
792,571,Hisuian Zoroark,Hisui
793,572,Minccino,Unova
794,573,Cinccino,Unova
795,574,Gothita,Unova
796,575,Gothorita,Unova
797,576,Gothitelle,Unova
798,577,Solosis,Unova
799,578,Duosion,Unova
800,579,Reuniclus,Unova
801,580,Ducklett,Unova
802,581,Swanna,Unova
803,582,Vanillite,Unova
804,583,Vanillish,Unova
805,584,Vanilluxe,Unova
806,585,Deerling,Unova
807,585,Autumn Deerling,Unova
808,585,Spring Deerling,Unova
809,585,Summer Deerling,Unova
810,585,Winter Deerling,Unova
811,586,Autumn Sawsbuck,Unova
812,586,Sawsbuck,Unova
813,586,Spring Sawsbuck,Unova
814,586,Summer Sawsbuck,Unova
815,586,Winter Sawsbuck,Unova
816,587,Emolga,Unova
817,588,Karrablast,Unova
818,589,Escavalier,Unova
819,590,Foongus,Unova
820,591,Amoonguss,Unova
821,592,Frillish,Unova
822,593,Jellicent,Unova
823,594,Alomomola,Unova
824,595,Joltik,Unova
825,596,Galvantula,Unova
826,597,Ferroseed,Unova
827,598,Ferrothorn,Unova
828,599,Klink,Unova
829,600,Klang,Unova
830,601,Klinklang,Unova
831,602,Tynamo,Unova
832,603,Eelektrik,Unova
833,604,Eelektross,Unova
834,604,Mega Eelektross,Unova
835,605,Elgyem,Unova
836,606,Beheeyem,Unova
837,607,Litwick,Unova
838,608,Lampent,Unova
839,609,Chandelure,Unova
840,609,Mega Chandelure,Unova
841,610,Axew,Unova
842,611,Fraxure,Unova
843,612,Haxorus,Unova
844,613,Cubchoo,Unova
845,614,Beartic,Unova
846,615,Cryogonal,Unova
847,616,Shelmet,Unova
848,617,Accelgor,Unova
849,618,Stunfisk,Unova
850,618,Galarian Stunfisk,Galar
851,619,Mienfoo,Unova
852,620,Mienshao,Unova
853,621,Druddigon,Unova
854,622,Golett,Unova
855,623,Golurk,Unova
856,623,Mega Golurk,Unova
857,624,Pawniard,Unova
858,625,Bisharp,Unova
859,983,Kingambit,Paldea
860,626,Bouffalant,Unova
861,627,Rufflet,Unova
862,628,Braviary,Unova
863,628,Hisuian Braviary,Hisui
864,629,Vullaby,Unova
865,630,Mandibuzz,Unova
866,631,Heatmor,Unova
867,632,Durant,Unova
868,633,Deino,Unova
869,634,Zweilous,Unova
870,635,Hydreigon,Unova
871,636,Larvesta,Unova
872,637,Volcarona,Unova
873,638,Cobalion,Unova
874,639,Terrakion,Unova
875,640,Virizion,Unova
876,641,Tornadus,Unova
877,641,Incarnate Tornadus,Unova
878,641,Therian Tornadus,Unova
879,642,Thundurus,Unova
880,642,Incarnate Thundurus,Unova
881,642,Therian Thundurus,Unova
882,643,Reshiram,Unova
883,644,Zekrom,Unova
884,645,Landorus,Unova
885,645,Incarnate Landorus,Unova
886,645,Therian Landorus,Unova
887,646,Kyurem,Unova
888,646,Black Kyurem,Unova
889,646,White Kyurem,Unova
890,647,Keldeo,Unova
891,647,Ordinary Keldeo,Unova
892,647,Resolute Keldeo,Unova
893,648,Meloetta,Unova
