Card Name,Set,Card Number,Rarity,Foil,Owned,Condition,Quantity,Market Value,Purchase Price,Target Buy Price,GainLoss,Notes,Artist,Language
Rattata,Expedition Base Set,128,Common,Reverse Holofoil,No,,0,37.99,,,,,Yuka Morii,English
Squirtle,Expedition Base Set,131,Common,Normal,No,,0,49.99,,,,,Yuka Morii,English
Squirtle,Expedition Base Set,131,Common,Reverse Holofoil,No,,0,160,,,,,Yuka Morii,English
Vulpix,Expedition Base Set,136,Common,Normal,No,,0,22.99,,,,,Yuka Morii,English
Vulpix,Expedition Base Set,136,Common,Reverse Holofoil,No,,0,52.99,,,,,Yuka Morii,English
Jumpluff,Aquapolis,17,Rare,Normal,No,,0,22.99,,,,,Yuka Morii,English
Jumpluff,Aquapolis,17,Rare,Reverse Holofoil,No,,0,25.99,,,,,Yuka Morii,English
Lanturn,Aquapolis,21,Rare,Normal,No,,0,27.99,,,,,Yuka Morii,English
Lanturn,Aquapolis,21,Rare,Reverse Holofoil,No,,0,46.99,,,,,Yuka Morii,English
Skiploom,Aquapolis,60,Uncommon,Normal,No,,0,28.99,,,,,Yuka Morii,English
Skiploom,Aquapolis,60,Uncommon,Reverse Holofoil,No,,0,51.99,,,,,Yuka Morii,English
Chinchou,Aquapolis,70,Common,Normal,No,,0,14.99,,,,,Yuka Morii,English
Chinchou,Aquapolis,70,Common,Reverse Holofoil,No,,0,37.99,,,,,Yuka Morii,English
Hoppip,Aquapolis,83,Common,Normal,No,,0,10.99,,,,,Yuka Morii,English
Hoppip,Aquapolis,83,Common,Reverse Holofoil,No,,0,22.99,,,,,Yuka Morii,English
Lickitung,Aquapolis,90,Common,Normal,No,,0,21.99,,,,,Yuka Morii,English
Lickitung,Aquapolis,90,Common,Reverse Holofoil,No,,0,76.99,,,,,Yuka Morii,English
Jumpluff,Aquapolis,H13,Rare Holo,Holofoil,No,,0,51.99,,,,,Yuka Morii,English
Lanturn,Aquapolis,H15,Rare Holo,Holofoil,No,,0,79.99,,,,,Yuka Morii,English
Piloswine,Skyridge,24,Rare,Normal,No,,0,63.99,,,,,Yuka Morii,English
Piloswine,Skyridge,24,Rare,Reverse Holofoil,No,,0,85.99,,,,,Yuka Morii,English
Raichu,Skyridge,27,Rare,Normal,No,,0,106,,,,,Yuka Morii,English
Raichu,Skyridge,27,Rare,Reverse Holofoil,No,,0,229,,,,,Yuka Morii,English
Dunsparce,Skyridge,53,Common,Normal,No,,0,34.99,,,,,Yuka Morii,English
Dunsparce,Skyridge,53,Common,Reverse Holofoil,No,,0,89.99,,,,,Yuka Morii,English
Pikachu,Skyridge,84,Common,Normal,No,,0,144,,,,,Yuka Morii,English
Pikachu,Skyridge,84,Common,Reverse Holofoil,No,,0,522,,,,,Yuka Morii,English
Swinub,Skyridge,107,Common,Normal,No,,0,87.99,,,,,Yuka Morii,English
Swinub,Skyridge,107,Common,Reverse Holofoil,No,,0,177,,,,,Yuka Morii,English
Piloswine,Skyridge,H22,Rare Holo,Holofoil,No,,0,240,,,,,Yuka Morii,English
Raichu,Skyridge,H25,Rare Holo,Holofoil,No,,0,427,,,,,Yuka Morii,English
Shelgon,Dragon,41,Uncommon,Normal,No,,0,4.29,,,,,Yuka Morii,English
Shelgon,Dragon,41,Uncommon,Reverse Holofoil,No,,0,19.99,,,,,Yuka Morii,English
Grimer,Dragon,57,Common,Normal,No,,0,2.59,,,,,Yuka Morii,English
Grimer,Dragon,57,Common,Reverse Holofoil,No,,0,32.99,,,,,Yuka Morii,English
Numel,Dragon,69,Common,Normal,No,,0,1.59,,,,,Yuka Morii,English
Numel,Dragon,69,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Trapinch,Dragon,78,Common,Normal,No,,0,2.69,,,,,Yuka Morii,English
Trapinch,Dragon,78,Common,Reverse Holofoil,No,,0,23.99,,,,,Yuka Morii,English
Numel,EX Trainer Kit Latias,5,,Unknown,No,,0,1.29,,,,,Yuka Morii,English
Bellossom,Hidden Legends,16,Rare,Normal,No,,0,5.69,,,,,Yuka Morii,English
Bellossom,Hidden Legends,16,Rare,Reverse Holofoil,No,,0,39.99,,,,,Yuka Morii,English
Gloom,Hidden Legends,35,Uncommon,Normal,No,,0,7.89,,,,,Yuka Morii,English
Gloom,Hidden Legends,35,Uncommon,Reverse Holofoil,No,,0,30.99,,,,,Yuka Morii,English
Swalot,Hidden Legends,50,Uncommon,Normal,No,,0,8.89,,,,,Yuka Morii,English
Swalot,Hidden Legends,50,Uncommon,Reverse Holofoil,No,,0,12.99,,,,,Yuka Morii,English
Gulpin,Hidden Legends,62,Common,Normal,No,,0,3.49,,,,,Yuka Morii,English
Gulpin,Hidden Legends,62,Common,Reverse Holofoil,No,,0,27.99,,,,,Yuka Morii,English
Oddish,Hidden Legends,68,Common,Normal,No,,0,3.59,,,,,Yuka Morii,English
Oddish,Hidden Legends,68,Common,Reverse Holofoil,No,,0,43.99,,,,,Yuka Morii,English
Slowbro,FireRed & LeafGreen,14,Rare Holo,Holofoil,No,,0,66.99,,,,,Yuka Morii,English
Slowbro,FireRed & LeafGreen,14,Rare Holo,Reverse Holofoil,No,,0,50.99,,,,,Yuka Morii,English
Tangela,FireRed & LeafGreen,30,Rare,Normal,No,,0,14.03,,,,,Yuka Morii,English
Tangela,FireRed & LeafGreen,30,Rare,Reverse Holofoil,No,,0,30.99,,,,,Yuka Morii,English
Parasect,FireRed & LeafGreen,43,Uncommon,Normal,No,,0,11.09,,,,,Yuka Morii,English
Parasect,FireRed & LeafGreen,43,Uncommon,Reverse Holofoil,No,,0,22.99,,,,,Yuka Morii,English
Paras,FireRed & LeafGreen,72,Common,Normal,No,,0,1.6,,,,,Yuka Morii,English
Paras,FireRed & LeafGreen,72,Common,Reverse Holofoil,No,,0,25.99,,,,,Yuka Morii,English
Slowpoke,FireRed & LeafGreen,80,Common,Normal,No,,0,17.39,,,,,Yuka Morii,English
Slowpoke,FireRed & LeafGreen,80,Common,Reverse Holofoil,No,,0,89.99,,,,,Yuka Morii,English
Delibird,Team Rocket Returns,21,Rare,Normal,No,,0,17.99,,,,,Yuka Morii,English
Delibird,Team Rocket Returns,21,Rare,Reverse Holofoil,No,,0,64.99,,,,,Yuka Morii,English
Furret,Team Rocket Returns,22,Rare,Normal,No,,0,20.99,,,,,Yuka Morii,English
Furret,Team Rocket Returns,22,Rare,Reverse Holofoil,No,,0,49.99,,,,,Yuka Morii,English
Sentret,Team Rocket Returns,75,Common,Normal,No,,0,3.29,,,,,Yuka Morii,English
Sentret,Team Rocket Returns,75,Common,Reverse Holofoil,No,,0,56.99,,,,,Yuka Morii,English
Spinarak,Team Rocket Returns,78,Common,Normal,No,,0,3.49,,,,,Yuka Morii,English
Spinarak,Team Rocket Returns,78,Common,Reverse Holofoil,No,,0,28.99,,,,,Yuka Morii,English
Xatu,Deoxys,29,Rare,Normal,No,,0,8.59,,,,,Yuka Morii,English
Xatu,Deoxys,29,Rare,Reverse Holofoil,No,,0,27.99,,,,,Yuka Morii,English
Donphan,Deoxys,30,Uncommon,Normal,No,,0,9.09,,,,,Yuka Morii,English
Donphan,Deoxys,30,Uncommon,Reverse Holofoil,No,,0,27.99,,,,,Yuka Morii,English
Natu,Deoxys,66,Common,Normal,No,,0,2.29,,,,,Yuka Morii,English
Natu,Deoxys,66,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Phanpy,Deoxys,69,Common,Normal,No,,0,7.19,,,,,Yuka Morii,English
Phanpy,Deoxys,69,Common,Reverse Holofoil,No,,0,27.99,,,,,Yuka Morii,English
Claydol,Emerald,24,Uncommon,Normal,No,,0,15.99,,,,,Yuka Morii,English
Claydol,Emerald,24,Uncommon,Reverse Holofoil,No,,0,43.99,,,,,Yuka Morii,English
Linoone,Emerald,34,Uncommon,Normal,No,,0,18.99,,,,,Yuka Morii,English
Linoone,Emerald,34,Uncommon,Reverse Holofoil,No,,0,76.99,,,,,Yuka Morii,English
Baltoy,Emerald,43,Common,Normal,No,,0,3.99,,,,,Yuka Morii,English
Baltoy,Emerald,43,Common,Reverse Holofoil,No,,0,24.99,,,,,Yuka Morii,English
Zigzagoon,Emerald,74,Common,Normal,No,,0,7.19,,,,,Yuka Morii,English
Zigzagoon,Emerald,74,Common,Reverse Holofoil,No,,0,38.99,,,,,Yuka Morii,English
Pikachu,POP Series 2,16,Common,Normal,No,,0,52.99,,,,,Yuka Morii,English
Cleffa,Unseen Forces,21,Rare,Normal,No,,0,21.99,,,,,Yuka Morii,English
Cleffa,Unseen Forces,21,Rare,Reverse Holofoil,No,,0,86.99,,,,,Yuka Morii,English
Elekid,Unseen Forces,23,Rare,Normal,No,,0,16.99,,,,,Yuka Morii,English
Elekid,Unseen Forces,23,Rare,Reverse Holofoil,No,,0,71.99,,,,,Yuka Morii,English
Smoochum,Unseen Forces,31,Rare,Normal,No,,0,16.99,,,,,Yuka Morii,English
Smoochum,Unseen Forces,31,Rare,Reverse Holofoil,No,,0,41.99,,,,,Yuka Morii,English
Tyrogue,Unseen Forces,33,Rare,Normal,No,,0,10.99,,,,,Yuka Morii,English
Tyrogue,Unseen Forces,33,Rare,Reverse Holofoil,No,,0,65.99,,,,,Yuka Morii,English
Ditto,Delta Species,35,Uncommon,Normal,No,,0,54.99,,,,,Yuka Morii,English
Ditto,Delta Species,35,Uncommon,Reverse Holofoil,No,,0,139,,,,,Yuka Morii,English
Ditto,Delta Species,36,Uncommon,Normal,No,,0,102,,,,,Yuka Morii,English
Ditto,Delta Species,36,Uncommon,Reverse Holofoil,No,,0,334,,,,,Yuka Morii,English
Ditto,Delta Species,37,Uncommon,Normal,No,,0,51.99,,,,,Yuka Morii,English
Ditto,Delta Species,37,Uncommon,Reverse Holofoil,No,,0,252,,,,,Yuka Morii,English
Ditto,Delta Species,38,Uncommon,Normal,No,,0,43.99,,,,,Yuka Morii,English
Ditto,Delta Species,38,Uncommon,Reverse Holofoil,No,,0,157,,,,,Yuka Morii,English
Ditto,Delta Species,39,Uncommon,Normal,No,,0,65.99,,,,,Yuka Morii,English
Ditto,Delta Species,39,Uncommon,Reverse Holofoil,No,,0,261,,,,,Yuka Morii,English
Ditto,Delta Species,40,Uncommon,Normal,No,,0,57.99,,,,,Yuka Morii,English
Ditto,Delta Species,40,Uncommon,Reverse Holofoil,No,,0,209,,,,,Yuka Morii,English
Ditto,Delta Species,61,Common,Normal,No,,0,45.99,,,,,Yuka Morii,English
Ditto,Delta Species,61,Common,Reverse Holofoil,No,,0,188,,,,,Yuka Morii,English
Ditto,Delta Species,62,Common,Normal,No,,0,22.99,,,,,Yuka Morii,English
Ditto,Delta Species,62,Common,Reverse Holofoil,No,,0,120,,,,,Yuka Morii,English
Ditto,Delta Species,63,Common,Normal,No,,0,69.99,,,,,Yuka Morii,English
Ditto,Delta Species,63,Common,Reverse Holofoil,No,,0,150,,,,,Yuka Morii,English
Ditto,Delta Species,64,Common,Normal,No,,0,50.99,,,,,Yuka Morii,English
Ditto,Delta Species,64,Common,Reverse Holofoil,No,,0,163,,,,,Yuka Morii,English
Magby,Legend Maker,58,Common,Normal,No,,0,4.09,,,,,Yuka Morii,English
Magby,Legend Maker,58,Common,Reverse Holofoil,No,,0,33.99,,,,,Yuka Morii,English
Seedot,Legend Maker,61,Common,Normal,No,,0,2.19,,,,,Yuka Morii,English
Seedot,Legend Maker,61,Common,Reverse Holofoil,No,,0,16.99,,,,,Yuka Morii,English
Wynaut,Legend Maker,71,Common,Normal,No,,0,4.69,,,,,Yuka Morii,English
Wynaut,Legend Maker,71,Common,Reverse Holofoil,No,,0,26.99,,,,,Yuka Morii,English
Ditto,POP Series 3,12,Common,Normal,No,,0,43.99,,,,,Yuka Morii,English
Croconaw δ,Dragon Frontiers,27,Uncommon,Normal,No,,0,5.99,,,,,Yuka Morii,English
Croconaw δ,Dragon Frontiers,27,Uncommon,Reverse Holofoil,No,,0,54.99,,,,,Yuka Morii,English
Flaaffy δ,Dragon Frontiers,30,Uncommon,Normal,No,,0,8.79,,,,,Yuka Morii,English
Flaaffy δ,Dragon Frontiers,30,Uncommon,Reverse Holofoil,No,,0,24.99,,,,,Yuka Morii,English
Chikorita δ,Dragon Frontiers,44,Common,Normal,No,,0,5.99,,,,,Yuka Morii,English
Chikorita δ,Dragon Frontiers,44,Common,Reverse Holofoil,No,,0,30.99,,,,,Yuka Morii,English
Ekans δ,Dragon Frontiers,47,Common,Normal,No,,0,2.49,,,,,Yuka Morii,English
Ekans δ,Dragon Frontiers,47,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Happiny,Mysterious Treasures,52,Uncommon,Normal,No,,0,7.49,,,,,Yuka Morii,English
Happiny,Mysterious Treasures,52,Uncommon,Reverse Holofoil,No,,0,13.99,,,,,Yuka Morii,English
Aron,Mysterious Treasures,71,Common,Normal,No,,0,5.39,,,,,Yuka Morii,English
Aron,Mysterious Treasures,71,Common,Reverse Holofoil,No,,0,6.89,,,,,Yuka Morii,English
Pichu,Mysterious Treasures,93,Common,Normal,No,,0,10.99,,,,,Yuka Morii,English
Pichu,Mysterious Treasures,93,Common,Reverse Holofoil,No,,0,32.99,,,,,Yuka Morii,English
Slakoth,Mysterious Treasures,99,Common,Normal,No,,0,4.69,,,,,Yuka Morii,English
Slakoth,Mysterious Treasures,99,Common,Reverse Holofoil,No,,0,9.59,,,,,Yuka Morii,English
Teddiursa,Mysterious Treasures,105,Common,Normal,No,,0,5.39,,,,,Yuka Morii,English
Teddiursa,Mysterious Treasures,105,Common,Reverse Holofoil,No,,0,12.99,,,,,Yuka Morii,English
Happiny,POP Series 8,14,Common,Normal,No,,0,12.99,,,,,Yuka Morii,English
Budew,Stormfront,33,Uncommon,Normal,No,,0,7.49,,,,,Yuka Morii,English
Budew,Stormfront,33,Uncommon,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Bidoof,Stormfront,54,Common,Normal,No,,0,4.09,,,,,Yuka Morii,English
Bidoof,Stormfront,54,Common,Reverse Holofoil,No,,0,19.99,,,,,Yuka Morii,English
Larvitar,Stormfront,63,Common,Normal,No,,0,4.09,,,,,Yuka Morii,English
Larvitar,Stormfront,63,Common,Reverse Holofoil,No,,0,14.99,,,,,Yuka Morii,English
Lickitung,Platinum,80,Common,Normal,No,,0,7.59,,,,,Yuka Morii,English
Lickitung,Platinum,80,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Mareep,Platinum,82,Common,Normal,No,,0,7.69,,,,,Yuka Morii,English
Mareep,Platinum,82,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Wurmple,Platinum,103,Common,Normal,No,,0,2.69,,,,,Yuka Morii,English
Wurmple,Platinum,103,Common,Reverse Holofoil,No,,0,10.99,,,,,Yuka Morii,English
Minun,Supreme Victors,71,Uncommon,Normal,No,,0,15.99,,,,,Yuka Morii,English
Minun,Supreme Victors,71,Uncommon,Reverse Holofoil,No,,0,27.99,,,,,Yuka Morii,English
Plusle,Supreme Victors,76,Uncommon,Normal,No,,0,16.99,,,,,Yuka Morii,English
Plusle,Supreme Victors,76,Uncommon,Reverse Holofoil,No,,0,30.99,,,,,Yuka Morii,English
Shroomish,Supreme Victors,127,Common,Normal,No,,0,3.99,,,,,Yuka Morii,English
Shroomish,Supreme Victors,127,Common,Reverse Holofoil,No,,0,5.39,,,,,Yuka Morii,English
Whismur,Supreme Victors,132,Common,Normal,No,,0,3.19,,,,,Yuka Morii,English
Whismur,Supreme Victors,132,Common,Reverse Holofoil,No,,0,13.99,,,,,Yuka Morii,English
Cherubi,Arceus,60,Common,Normal,No,,0,1.99,,,,,Yuka Morii,English
Cherubi,Arceus,60,Common,Reverse Holofoil,No,,0,13.99,,,,,Yuka Morii,English
Snorunt,Arceus,75,Common,Normal,No,,0,3.29,,,,,Yuka Morii,English
Snorunt,Arceus,75,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Wobbuffet,HeartGold & SoulSilver,13,Rare Holo,Holofoil,No,,0,20.99,,,,,Yuka Morii,English
Wobbuffet,HeartGold & SoulSilver,13,Rare Holo,Reverse Holofoil,No,,0,20.99,,,,,Yuka Morii,English
Ledian,HeartGold & SoulSilver,25,Rare,Normal,No,,0,10.99,,,,,Yuka Morii,English
Ledian,HeartGold & SoulSilver,25,Rare,Reverse Holofoil,No,,0,15.99,,,,,Yuka Morii,English
Sunflora,HeartGold & SoulSilver,31,Rare,Normal,No,,0,14.99,,,,,Yuka Morii,English
Sunflora,HeartGold & SoulSilver,31,Rare,Reverse Holofoil,No,,0,13.99,,,,,Yuka Morii,English
Ledyba,HeartGold & SoulSilver,71,Common,Normal,No,,0,4.09,,,,,Yuka Morii,English
Ledyba,HeartGold & SoulSilver,71,Common,Reverse Holofoil,No,,0,7.29,,,,,Yuka Morii,English
Sunkern,HeartGold & SoulSilver,85,Common,Normal,No,,0,3.29,,,,,Yuka Morii,English
Sunkern,HeartGold & SoulSilver,85,Common,Reverse Holofoil,No,,0,16.99,,,,,Yuka Morii,English
Magcargo,HS—Undaunted,6,Rare Holo,Holofoil,No,,0,21.99,,,,,Yuka Morii,English
Magcargo,HS—Undaunted,6,Rare Holo,Reverse Holofoil,No,,0,20.99,,,,,Yuka Morii,English
Slugma,HS—Undaunted,67,Common,Normal,No,,0,3.79,,,,,Yuka Morii,English
Slugma,HS—Undaunted,67,Common,Reverse Holofoil,No,,0,17.99,,,,,Yuka Morii,English
Bronzong,HS—Triumphant,15,Rare,Normal,No,,0,17.99,,,,,Yuka Morii,English
Bronzong,HS—Triumphant,15,Rare,Reverse Holofoil,No,,0,22.99,,,,,Yuka Morii,English
Bronzor,HS—Triumphant,58,Common,Normal,No,,0,2.49,,,,,Yuka Morii,English
Bronzor,HS—Triumphant,58,Common,Reverse Holofoil,No,,0,9.19,,,,,Yuka Morii,English
Sewaddle,Legendary Treasures,9,Common,Normal,No,,0,2.19,,,,,Yuka Morii,English
Sewaddle,Legendary Treasures,9,Common,Reverse Holofoil,No,,0,12.99,,,,,Yuka Morii,English
Stunfisk,Legendary Treasures,83,Uncommon,Normal,No,,0,4.39,,,,,Yuka Morii,English
Stunfisk,Legendary Treasures,83,Uncommon,Reverse Holofoil,No,,0,9.99,,,,,Yuka Morii,English
Hippopotas,Primal Clash,87,Common,Normal,No,,0,1.79,,,,,Yuka Morii,English
Hippopotas,Primal Clash,87,Common,Reverse Holofoil,No,,0,4.29,,,,,Yuka Morii,English
Skitty,Primal Clash,113,Common,Normal,No,,0,2.09,,,,,Yuka Morii,English
Skitty,Primal Clash,113,Common,Reverse Holofoil,No,,0,4.99,,,,,Yuka Morii,English
Dunsparce,Roaring Skies,68,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Dunsparce,Roaring Skies,68,Common,Reverse Holofoil,No,,0,1.99,,,,,Yuka Morii,English
Beldum,Ancient Origins,47,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Beldum,Ancient Origins,47,Common,Reverse Holofoil,No,,0,1.89,,,,,Yuka Morii,English
Cacnea,BREAKthrough,4,Common,Normal,No,,0,1.49,,,,,Yuka Morii,English
Cacnea,BREAKthrough,4,Common,Reverse Holofoil,No,,0,3.19,,,,,Yuka Morii,English
Snubbull,BREAKthrough,98,Common,Normal,No,,0,2.19,,,,,Yuka Morii,English
Snubbull,BREAKthrough,98,Common,Reverse Holofoil,No,,0,4.09,,,,,Yuka Morii,English
Skitty,McDonald's Collection 2015,12,,Unknown,No,,0,11.99,,,,,Yuka Morii,English
Nuzleaf,BREAKpoint,72,Uncommon,Normal,No,,0,1.59,,,,,Yuka Morii,English
Nuzleaf,BREAKpoint,72,Uncommon,Reverse Holofoil,No,,0,2.49,,,,,Yuka Morii,English
Swirlix,Generations,RC19,Uncommon,Normal,No,,0,14.99,,,,,Yuka Morii,English
Carbink,Fates Collide,49,Rare,Normal,No,,0,2.19,,,,,Yuka Morii,English
Carbink,Fates Collide,49,Rare,Reverse Holofoil,No,,0,3.29,,,,,Yuka Morii,English
Foongus,Steam Siege,12,Common,Normal,No,,0,1.49,,,,,Yuka Morii,English
Foongus,Steam Siege,12,Common,Reverse Holofoil,No,,0,1.49,,,,,Yuka Morii,English
Venusaur & Snivy-GX,SM Black Star Promos,SM229,Promo,Promo,No,,0,113,,,,,Yuka Morii,English
Metapod,Sun & Moon,2,Uncommon,Normal,No,,0,0.35,,,,,Yuka Morii,English
Metapod,Sun & Moon,2,Uncommon,Reverse Holofoil,No,,0,,,,,,Yuka Morii,English
Trubbish,Guardians Rising,50,Common,Normal,No,,0,1.99,,,,,Yuka Morii,English
Trubbish,Guardians Rising,50,Common,Reverse Holofoil,No,,0,4.39,,,,,Yuka Morii,English
Gothita,Guardians Rising,52,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Gothita,Guardians Rising,52,Common,Reverse Holofoil,No,,0,1.69,,,,,Yuka Morii,English
Starmie,Crimson Invasion,16,Rare,Normal,No,,0,2.19,,,,,Yuka Morii,English
Starmie,Crimson Invasion,16,Rare,Reverse Holofoil,No,,0,3.19,,,,,Yuka Morii,English
Primeape,Crimson Invasion,51,Rare,Normal,No,,0,2.09,,,,,Yuka Morii,English
Primeape,Crimson Invasion,51,Rare,Reverse Holofoil,No,,0,2.39,,,,,Yuka Morii,English
Exeggcute,Forbidden Light,1,Common,Normal,No,,0,1.59,,,,,Yuka Morii,English
Exeggcute,Forbidden Light,1,Common,Reverse Holofoil,No,,0,2.59,,,,,Yuka Morii,English
Litleo,Forbidden Light,18,Common,Normal,No,,0,1.69,,,,,Yuka Morii,English
Litleo,Forbidden Light,18,Common,Reverse Holofoil,No,,0,2.49,,,,,Yuka Morii,English
Binacle,Forbidden Light,66,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Binacle,Forbidden Light,66,Common,Reverse Holofoil,No,,0,2.09,,,,,Yuka Morii,English
Gulpin,Celestial Storm,57,Common,Normal,No,,0,1.69,,,,,Yuka Morii,English
Gulpin,Celestial Storm,57,Common,Reverse Holofoil,No,,0,4.79,,,,,Yuka Morii,English
Swalot,Celestial Storm,58,Uncommon,Normal,No,,0,2.19,,,,,Yuka Morii,English
Swalot,Celestial Storm,58,Uncommon,Reverse Holofoil,No,,0,5.19,,,,,Yuka Morii,English
Shelgon,Dragon Majesty,43,Uncommon,Normal,No,,0,2.19,,,,,Yuka Morii,English
Shelgon,Dragon Majesty,43,Uncommon,Reverse Holofoil,No,,0,4.69,,,,,Yuka Morii,English
Pachirisu,Lost Thunder,80,Common,Normal,No,,0,2.39,,,,,Yuka Morii,English
Pachirisu,Lost Thunder,80,Common,Reverse Holofoil,No,,0,7.69,,,,,Yuka Morii,English
Pupitar,Lost Thunder,116,Uncommon,Normal,No,,0,2.19,,,,,Yuka Morii,English
Pupitar,Lost Thunder,116,Uncommon,Reverse Holofoil,No,,0,9.29,,,,,Yuka Morii,English
Alolan Dugtrio,Lost Thunder,123,Uncommon,Normal,No,,0,6.59,,,,,Yuka Morii,English
Alolan Dugtrio,Lost Thunder,123,Uncommon,Reverse Holofoil,No,,0,16.99,,,,,Yuka Morii,English
Ralts,Lost Thunder,139,Common,Normal,No,,0,3.49,,,,,Yuka Morii,English
Ralts,Lost Thunder,139,Common,Reverse Holofoil,No,,0,12.99,,,,,Yuka Morii,English
Kakuna,Team Up,4,Uncommon,Normal,No,,0,1.39,,,,,Yuka Morii,English
Kakuna,Team Up,4,Uncommon,Reverse Holofoil,No,,0,2.39,,,,,Yuka Morii,English
Alolan Geodude,Team Up,35,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Alolan Geodude,Team Up,35,Common,Reverse Holofoil,No,,0,4.89,,,,,Yuka Morii,English
